shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYs4ypH_0g,spotify,2020-12-04 18:33:23.000000,yes,False,b'shawnmendes',b'',b'All our #ShawnMendes wonders have been answered :cloud_selector:',64867,51.95,15434,286,,,
CIYpsZZHTUY,spotify,2020-12-04 18:05:30.000000,yes,False,"b'weird,yungblud'",b'',b'What makes you #weird? #YUNGBLUD\xe2\x80\x99s new album is a celebration of individuality :black_heart:',118211,90.0,18189,289,,,
CIXTWceHgwx,spotify,2020-12-04 05:28:15.000000,no,False,b'yungblud',b'',b'It\xe2\x80\x99s time for change. #YUNGBLUD\xe2\x80\x99s new album weird! is here to spark it :black_heart: Link in bio.',0,0,27511,410,,,
CIXSaGhFMJ4,spotify,2020-12-04 05:20:00.000000,no,False,b'lilbaby',"b'lilbaby_1,gunnerstahl.us,rapcaviar'","b""It's not everyday that @lilbaby_1 drops two songs at once, so we put him together with @gunnerstahl.us to shoot two new playlist covers for @RapCaviar. Hear both of Baby's new singles now at the link in bio.\n#lilbaby""",0,0,21210,81,,,
CIXRTkiobJ5,spotify,2020-12-04 05:10:40.000000,no,False,b'riconasty',b'',b'Time to take a trip. #RicoNasty\xe2\x80\x99s official debut album is finally here. Step into Nightmare Vacation at the link in bio.',0,0,14600,95,,,
CIXQy4MHbcY,spotify,2020-12-04 05:05:55.000000,no,False,"b'shawnmendes,wonder'",b'',b'Want to experience a little #ShawnMendes magic? Escape into his enhanced album #Wonder at the link in bio.',0,0,44028,189,,,
CIXQlcrLhaQ,spotify,2020-12-04 05:04:15.000000,no,False,"b'theweeknd,rosalia,blindinglights'",b'',"b""We thought the song of the year couldn't get any better, pero pas\xc3\xb3. #TheWeeknd x #ROSALIA #BlindingLights is here.""",0,0,60923,287,,,
CIWXf2HnoOD,spotify,2020-12-03 20:49:02.000000,yes,False,b'graziebalconi',b'spotifyitaly',"b'A special ""thank you"" from @SpotifyItaly to all the balconies and windows of Italy: thank you for singing louder and more united than ever this year :Italy: #GrazieBalconi'",42191,109.96,8334,80,,,
CIVoc6MH9wb,spotify,2020-12-03 13:55:47.000000,yes,False,"b'megantheestallion,2020wrapped'",b'',b'Thank you #MeganTheeStallion for reminding us we\xe2\x80\x99re savage all year long.\n\nFind out how you listened this year with #2020Wrapped at the link in bio.',84005,14.993,16003,208,,,
CITxXhQn7L_,spotify,2020-12-02 20:34:25.000000,yes,False,"b'ashleyflowers,2020wrapped'",b'',b'Thank you #AshleyFlowers for getting us through a very Supernatural 2020.\n\nFind out how you listened this year with #2020Wrapped at the link in bio.',65654,14.993,10663,119,,,
CITK35VH0H8,spotify,2020-12-02 14:58:00.000000,yes,False,"b'taylorswift,2020wrapped'",b'',b'Thank you to #TaylorSwift for making home a better place for us fans :green_heart:\n\nFind out how you listened this year with #2020Wrapped at the link in bio.',92890,14.993,19995,279,,,
CIR-GiFnvOF,spotify,2020-12-02 03:46:33.000000,yes,False,b'2020wrapped',b'',b'#2020Wrapped is finally here! Get yours at the link in bio :green_heart:',417788,10.038,55328,2311,,,
CIRov6dHA0O,spotify,2020-12-02 00:39:47.000000,no,False,b'',b'',"b'Well, here are some good things from 2020...'",0,0,291889,4775,,,
CIQ7iRdHqBk,spotify,2020-12-01 18:06:21.000000,yes,False,b'joeroganexperience',b'',"b'Big guests and bigger conversations :studio_microphone: Watch and listen to The #JoeRoganExperience for free, now only on Spotify.'",78291,49.819,8657,165,,,
CIQc7ZhHYy0,spotify,2020-12-01 13:37:45.000000,yes,False,"b'jimestack,kacyhill,pollen'",b'',"b""Take a look around #JimEStack's creative space :eyes:\n\nHis banger Can We with #KacyHill is on #POLLEN at the link in bio :cherry_blossom:""",34266,45.033,6072,43,,,
CIOs1kDnPgZ,spotify,2020-11-30 21:17:47.000000,no,False,b'',b'badbunnypr',b'EL MUNDO ES TUYO @badbunnypr',0,0,51908,1441,,,
CIOlSAWHO1i,spotify,2020-11-30 20:11:46.000000,no,False,b'popsmoke',b'',b'#PopSmoke holding down the Weekly Charts for 9 weeks in a row :folded_hands:',0,0,46551,905,,,
CIG6RVPH4CJ,spotify,2020-11-27 20:41:28.000000,no,False,"b'jenniferlopez,inthemorning'",b'',b'Something nice to wake up to :sparkles: #JenniferLopez just dropped #InTheMorning. Hear it now at the link in bio.',0,0,33762,291,,,
CIGf50vs5Wg,spotify,2020-11-27 16:51:09.000000,yes,False,b'miley',b'',b'What advice would you ask from #Miley? Drop it in the comments below :backhand_index_pointing_down:',77949,60.1,14073,301,,,
CIFOkYxnEE5,spotify,2020-11-27 05:00:08.000000,no,False,"b'plastichearts,mileycyrus,joanjett,billyidol,stevienicks'",b'',"b'Our #PlasticHearts have melted :black_heart:  #MileyCyrus is here with her first rock album, featuring legends like #JoanJett, #BillyIdol and #StevieNicks. Link in bio.'",0,0,41955,331,,,
CIFILaNrmks,spotify,2020-11-27 04:04:30.000000,no,False,b'badbunny',b'',b'Turn up the volume and take a trip around the world with #BadBunny on his latest album El \xc3\x9altimo Tour Del Mundo :globe_showing_Asia-Australia: Link in bio.',0,0,49539,456,,,
CIENRAUnX6g,spotify,2020-11-26 19:29:30.000000,no,False,"b'rinasawayama,lucid'",b'',b'Our dreams are filled with #RinaSawayama\xc2\xa0:sparkles:\xc2\xa0Dance to #LUCID at the link in bio.',0,0,13488,88,,,
