shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH-qdhSjpUp,bristolmyerssquibb,2020-11-24 15:50,yes,False,,,"b'No matter where we work, we\xe2\x80\x99re more united than ever with One Vision. Find out what drives us and see how we\xe2\x80\x99re stronger together.'",443,60.0,54,0,54,,
CH01mltDIu6,bristolmyerssquibb,2020-11-20 20:14,yes,False,,,"b'BMS patients, Alicia and KT, share what it means to them to virtually ring the New York Stock Exchange closing bell to celebrate a transformative year at Bristol Myers Squibb.'",606,39.333,67,1,68,,
CH0fR5gBwgS,bristolmyerssquibb,2020-11-20 16:59,no,False,"outsurvey,tdor2020,transawarenessweek,transgenderdayofremembrance",,"b""We're supporting the National LGBT Cancer Network. Out: The National Cancer Survey is specifically for LGBTQI+ cancer survivors. Take the survey & share your story. #outsurvey #TDOR2020 #TransAwarenessWeek #TransgenderDayofRemembrance""",0,0,220,1,221,,
CHxxallDCC4,bristolmyerssquibb,2020-11-19 16:59,yes,False,cancer,sterlingkbrown,"b'During his #cancer journey, Bin built \xe2\x80\x9ctools of resiliency\xe2\x80\x9d  that now help him cope with the challenges of being immunocompromised during the pandemic. Watch his conversation with @sterlingkbrown'",420,59.991,67,1,68,,
CHxstF5n_rN,bristolmyerssquibb,2020-11-19 14:58,no,False,diversityandinclusion,,"b'Now more than ever, we must create the change needed to address the health disparities and racial inequality present in our rapidly changing communities. As one part of our commitment, we continue to take steps inside our organization toward transforming our culture. \n\nBy 2022, we aim to achieve gender parity at the executive level globally; double executive representation of Black/African American employees in the U.S.; and, double executive representation of Hispanic/Latino employees in the U.S. #diversityandinclusion'",0,0,433,8,441,,
CHtI4YjDeyC,bristolmyerssquibb,2020-11-17 20:28,no,False,ftpharma,financialtimeslive,b'We embrace a diverse workforce and inclusive culture. We were honored to have our own Amanda Poole (r) share more on how culture and inclusion is essential to accelerating innovation for patients at the @financialtimeslive #FTPharma event.',0,0,77,2,79,,
CHsjLPdnjAS,bristolmyerssquibb,2020-11-17 14:59,no,False,covid19,,"b'During this unprecedented time, if you are a BMS patient in the U.S. and lost your job and health insurance due to the #COVID19 pandemic, we will provide our covered medicines at no cost. Call 1-800-721-8909.'",0,0,223,5,228,,
CHqAhw-j8eE,bristolmyerssquibb,2020-11-16 15:18,yes,False,"globalpatientweek,redcross","americanredcross,ifrc","b""Patients are at the center of everything we do. It's why we spend a week celebrating them every year. This year, we came together to support @AmericanRedCross & @ifrc, donating $1 for each minute moved by our employees & patients for a total of $1 million donated! #GlobalPatientWeek #redcross""",968,20.014,95,0,95,,
CHd4cBnDpJ3,bristolmyerssquibb,2020-11-11 22:16,no,False,veteransday,,"b'We celebrate our veteran colleagues and all who have and continue to serve, protect, and defend our freedom. Led by our Veterans Community Network (VCN), we work to help veterans build successful careers, recognizing their contribution to our mission of helping patients prevail over serious diseases. #veteransday'",0,0,356,10,366,,
CHVX_UgrVox,bristolmyerssquibb,2020-11-08 14:59,no,False,"nationalstemday,womeninstem",,"b'In the spirit of #NationalSTEMDay, we recently hosted nearly 60 female grad students for our fourth annual Women in Chemistry Outreach Event! For our virtual event, they \xe2\x80\x9cvisited\xe2\x80\x9d our Lawrenceville and New Brunswick sites and learned about careers in medicinal chemistry. #womeninSTEM'",0,0,199,2,201,,
