shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYwWyPApMD,gucci,2020-12-04 19:00:58.000000,no,False,"b'gucciophidia,guccigift,alessandromichele'",b'alessandro_michele',"b'Part of a curated selection of gifts, the #GucciOphidia collection including a wallet and card case are embellished with the House Web stripe and the Double G hardware. Discover more through link in bio. #GucciGift #AlessandroMichele @alessandro_michele'",0,0,66175,179,,,
CIYHMj7M3ZX,gucci,2020-12-04 13:01:19.000000,no,False,"b'ggmarmont,guccigift,alessandromichele'",b'alessandro_michele',"b'The #GGMarmont shoulder bag, one of the key designs of the House, defined by the Double G hardware, is reimagined in festive, multicoloured sequins on a silk backing. Discover more through link in bio. #GucciGift #AlessandroMichele @alessandro_michele'",0,0,54882,149,,,
CIYHMj7M3ZX,gucci,2020-12-04 13:01:19.000000,no,False,"b'ggmarmont,guccigift,alessandromichele'",b'alessandro_michele',"b'The #GGMarmont shoulder bag, one of the key designs of the House, defined by the Double G hardware, is reimagined in festive, multicoloured sequins on a silk backing. Discover more through link in bio. #GucciGift #AlessandroMichele @alessandro_michele'",0,0,54882,149,,,
CIWLiuFgTM7,gucci,2020-12-03 19:00:50.000000,no,False,"b'guccigift,alessandromichele'",b'alessandro_michele',"b'Gifts for the festive season, a silk neck bow with Interlocking G print pay a new and vibrant homage to Gucci\xe2\x80\x99s roots. Discover more through link in bio. #GucciGift #AlessandroMichele @alessandro_michele'",0,0,38349,96,,,
CIVkFAwAbLv,gucci,2020-12-03 13:15:58.000000,no,False,"b'guccigift,guccieyewear,guccigift,alessandromichele'",b'alessandro_michele',"b'From the #GucciGift collection, an allover GG trench coat worn with a silk twill scarf and oversize #GucciEyewear. Discover more through link in bio. #GucciGift #AlessandroMichele @alessandro_michele'",0,0,57348,130,,,
CITmzdWgM4c,gucci,2020-12-02 19:01:19.000000,no,False,"b'gucciophidia,guccigift,alessandromichele'",b'alessandro_michele',b'For the holidays: the #GucciOphidia backpack and messenger bag combine classic House motifs including the GG canvas and House Web stripe. Discover more through link in bio. #GucciGift #AlessandroMichele @alessandro_michele',0,0,68675,225,,,
CIS9jEaArkf,gucci,2020-12-02 13:00:48.000000,no,False,"b'guccigift,guccidionysus,alessandromichele'",b'alessandro_michele',"b'A classic #GucciGift, the #GucciDionysus collection, defined by the tiger head closure\xe2\x80\x94a unique detail referencing the Greek god Dionysus, includes shoulder bags with chain straps, the House monogram and suede inserts. Discover more through link in bio. #AlessandroMichele @alessandro_michele'",0,0,72879,259,,,
CIRB6eon4Y6,gucci,2020-12-01 19:00:28.000000,no,False,"b'guccijackie1961,guccigift,alessandromichele'",b'alessandro_michele',"b'Originally designed in the 60s, the #GucciJackie1961 hobo bag has been brought back to the forefront in a range of rich leather hues and the House monogram canvas. Discover more through link in bio. #GucciGift #AlessandroMichele @alessandro_michele'",0,0,72510,270,,,
CIQYvBZMSht,gucci,2020-12-01 13:00:39.000000,no,False,"b'alessandromichele,guccigift'",b'alessandro_michele',"b'For the holiday season, contrast colour jacquard wool silk scarves bearing the oversized GG logo. Discover more through link in bio. #AlessandroMichele @alessandro_michele #GucciGift'",0,0,84888,219,,,
CIOdH-lnNbN,gucci,2020-11-30 19:05:35.000000,yes,False,"b'ggmarmont,alessandromichele,guccigift'",b'alessandro_michele',"b'Houndstooth, the classic sartorial pattern, is reimagined in House red and green on a range of accessories, including the #GGMarmont bag. Discover more through link in bio. #AlessandroMichele @alessandro_michele #GucciGift'",257154,10.2,46169,228,,,
