shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYRebbASa_,burberry,2020-12-04 14:31:06.000000,no,False,b'isamayaffrench',"b'tilljanz,buffalozine,isamayaffrench'",b'Our Global Beauty Director #IsamayaFfrench reimagined by @TillJanz for @BuffaloZine\n\n\xe2\x80\x98Till and I are both fascinated by pop culture and the way it interacts with social media image creation\xe2\x80\x99 @IsamayaFfrench',0,0,20273,59,,,
CIWQ0HXg3bj,burberry,2020-12-03 19:46:50.000000,no,False,"b'riccardotisci,inburberry,fashionawards,burberry'","b'riccardotisci17,britishfashioncouncil,misanharriman'",b'Congratulations @RiccardoTisci17 on receiving a @BritishFashionCouncil Fashion Award 2020 for Creativity.\n\n\xe2\x80\x98I am so grateful to the British Fashion Council for this incredible honour and amazing award. Remember to always love each other and to stand up for all communities \xe2\x80\x93 together we can continue to create real positive change.\xe2\x80\x99 #RiccardoTisci\n\nPhotographed #InBurberry by @MisanHarriman\n\n#FashionAwards\n#Burberry',0,0,15702,94,,,
CIVwGS3AS4e,burberry,2020-12-03 15:00:58.000000,no,False,b'burberryfestive',b'',b'Bright ideas \n\n#BurberryFestive',0,0,23638,43,,,
CIVO9trgewu,burberry,2020-12-03 10:11:26.000000,no,False,"b'thepocketbag,burberrygifts'",b'',b'Better together \n\n#ThePocketBag \n#BurberryGifts',0,0,16145,36,,,
CITfllAgNeC,burberry,2020-12-02 17:58:12.000000,no,False,"b'thepocketbag,burberryfestive'",b'',b'All zest up \n\n#ThePocketBag \n#BurberryFestive',0,0,34894,108,,,
CITZKv8gkW4,burberry,2020-12-02 17:02:07.000000,no,False,"b'thepocketbag,burberryfestive'",b'',b'#ThePocketBag #BurberryFestive',0,0,23563,58,,,
CISv5oYAIs9,burberry,2020-12-02 11:01:31.000000,no,False,b'burberryfestive',b'',b'Dress up to stay in \n\n#BurberryFestive',0,0,26193,65,,,
CIQ1u1YgNeS,burberry,2020-12-01 17:13:59.000000,no,False,"b'burberryfestive,thelolabag'",b'',b'Unboxing\n\n#BurberryFestive \n#TheLolaBag',0,0,31981,96,,,
CIQJyQ-gg2d,burberry,2020-12-01 10:49:59.000000,no,False,b'burberryfestive',b'',b'Say it with stripes \n\n#BurberryFestive',0,0,42251,146,,,
CIN5ELChb26,burberry,2020-11-30 13:45:24.000000,no,False,b'inburberry',"b'itzy.all.in.us,ellekorea,ssong_girl,hongjanghyun'","b'@itzy.all.in.us #InBurberry. Thank you @ellekorea, Bang Ho Kwang, @ssong_girl and @hongjanghyun'",0,0,53181,597,,,
CINgH9iBgZP,burberry,2020-11-30 10:07:27.000000,no,False,"b'burberryfestive,thelolabag'",b'',b'Warm stripes for cold days #BurberryFestive #TheLolaBag',0,0,37079,81,,,
CIK_AdthndH,burberry,2020-11-29 10:39:36.000000,no,False,b'burberryfestive',b'',b'Wrap up in our cashmere scarves \xe2\x80\x93 crafted in a 200-year-old mill in the Scottish countryside #BurberryFestive',0,0,38143,56,,,
CIJGeH4Be8P,burberry,2020-11-28 17:06:20.000000,no,False,b'burberryfestive',b'',b'Be bold with festive dressing #BurberryFestive',0,0,23589,44,,,
CIIc370hWrm,burberry,2020-11-28 11:02:51.000000,no,False,b'burberryfestive',b'',b'\xe2\x80\x98Tis the season #BurberryFestive',0,0,41013,111,,,
CIGVfZrBGzQ,burberry,2020-11-27 15:19:51.000000,no,False,b'burberryfestive',b'',b'Check list :check_mark: #BurberryFestive',0,0,24152,95,,,
CIGAxSWBYaH,burberry,2020-11-27 12:18:48.000000,no,False,b'burberryfestive',b'',"b""Woven with our heritage. We've been working with the family-run Scottish mill who craft our cashmere scarves since 1900 #BurberryFestive""",0,0,62415,145,,,
