shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXyiATgTW_,nokia,2020-12-04 10:00:54.000000,yes,False,"b'5g,teamnokia,feelinspired,italy'",b'',"b'How is #5G technology changing the music world? If you want to find out, check out #TeamNokia Vimercate performing live via 5G Network. #FeelInspired #Italy'",10561,25.5,1108,20,,,
CIOPjD_sYuB,nokia,2020-11-30 17:02:07.000000,yes,False,"b'nokiastudents,teamnokia,germany,robotics'",b'',b'Our #NokiaStudents developed a self-driving RoboCar in their first assignment and happily tested it at an exciting race afterwards. Nice job #TeamNokia #Germany. #Robotics',21821,12.633,2073,35,,,
CIF9hXNJiZa,nokia,2020-11-27 11:50:24.000000,no,False,"b'teamnokia,lebanon,feelengaged'",b'',b'Our #TeamNokia #Lebanon celebrated Independence Day with planting Cedars as part of country agenda. What is your way of making our planet greener? #FeelEngaged',0,0,2652,21,,,
CID_oY4LRoW,nokia,2020-11-26 17:30:24.000000,no,False,b'',b'',"b'We create technology that transforms society, making the world smarter, safer and more sustainable. \n\nRead more on our insights into transforming society through technology by heading to our website.'",0,0,1688,49,,,
CIDUS3Ip3WZ,nokia,2020-11-26 11:11:50.000000,yes,False,"b'teamnokia,oulu,feelempowered,finland'",b'',b'#TeamNokia #Oulu is promoting awareness of the Finnish culture as a part of social integration activities. Here is a sneak peek of how the Finns might behave. What makes your culture unique? Share it with us. #FeelEmpowered #Finland',7257,10.166,1215,15,,,
CIAgAKdpA-r,nokia,2020-11-25 08:56:16.000000,no,False,"b'teamnokia,feelempowered,whatmakesus,womenintech'",b'',"b'""My experience at Nokia has been one to be extremely proud of. Technology is changing the world we live in for the better. When we connect people and things, we empower people and wonders happen.\xe2\x80\x9d \xe2\x80\x93 Eshani J. #TeamNokia #FeelEmpowered #WhatMakesUs #WomenInTech'",0,0,2583,16,,,
CIAL8phB5eI,nokia,2020-11-25 06:01:10.000000,yes,False,b'',b'',"b'Imagine a castle. Built with the toughest materials, the thickest walls, and filled with the shrewdest soldiers. And there\xe2\x80\x99s a moat. One might feel safe in this place, certain the enemy will move on to easier targets.'",3917,35.4,821,10,,,
CH-5fNoljcd,nokia,2020-11-24 18:00:31.000000,no,False,"b'1,5g'",b'',"b'A new independent study by PA Consulting concluded we are #1 for ownership of granted patents that researchers found essential to the #5G standard.\n\nWe have filed patent applications on more than 1,300 new inventions this year, with a portfolio of around 20,000 patent families (each family being composed of several individual patents), including more than 3,500 patent families for 5G.\n\nFor more information, check out our blog, where Jenni Lukander has written about this study.'",0,0,2138,6,,,
CH-5fNoljcd,nokia,2020-11-24 18:00:31.000000,no,False,"b'1,5g'",b'',"b'A new independent study by PA Consulting concluded we are #1 for ownership of granted patents that researchers found essential to the #5G standard.\n\nWe have filed patent applications on more than 1,300 new inventions this year, with a portfolio of around 20,000 patent families (each family being composed of several individual patents), including more than 3,500 patent families for 5G.\n\nFor more information, check out our blog, where Jenni Lukander has written about this study.'",0,0,2138,6,,,
CH7dvMwAroz,nokia,2020-11-23 10:00:19.000000,no,False,"b'teamnokia,feelinspired'",b'',b'Our #TeamNokia was invited to participate in the celebration activities for the 30th anniversary of the establishment of Hangzhou High-tech Zone. We play a major role in the ecosystem of open innovation by boosting the development of business environment. #FeelInspired',0,0,4162,27,,,
CHzzqT2JEAL,nokia,2020-11-20 10:39:31.000000,yes,False,"b'foreverychild,worldchildrensday,wcd2020,sdgs,digitaldivide'","b'unicef_kenya,unicef_finland'","b""As part of our celebrations for World Children's Day, we're proud to showcase our shared value project in Kenya.\n\nWe have worked with UNICEF (@UNICEF_Kenya and @unicef_finland) to improve the quality and equity of education. Using our Fixed Wireless Access solution, 10 Kenyan schools have now been connected, providing over 5000 students the ability to connect to digital learning.\n\n#foreverychild #WorldChildrensDay #WCD2020 #SDGs #digitaldivide""",4107,39.186,826,17,,,
CHxwVflLLNy,nokia,2020-11-19 15:30:25.000000,no,False,b'',b'',"b'We are always look to understand how technology can enhance the business of our customers \xe2\x80\x93 as well as shaping the future of technology itself, exploring the positive impacts on how people will live, work and play. \n\nRead more on our insights into the business opportunities technology presents.'",0,0,2103,17,,,
CHustH4rKqF,nokia,2020-11-18 11:00:58.000000,no,False,b'',b'mynokia',"b'Introducing our new channel @MyNokia. Follow to receive the latest news on Nokia Smart TVs, Nokia Media Streamer, Nokia headphones and more.'",0,0,4119,46,,,
CHqFb9graon,nokia,2020-11-16 16:00:52.000000,no,False,"b'teamnokia,feelengaged,5g'",b'',b'Welcome to our new #teamnokia family member. #FeelEngaged #5G',0,0,6063,45,,,
CHkPJiigIWC,nokia,2020-11-14 09:30:18.000000,no,False,"b'teamnokia,poland,feelengaged'",b'',b'What a nice way to start your day! #TeamNokia #Poland is embracing autumn and enjoying morning coffee in this amazing location in Bydgoszcz. #FeelEngaged',0,0,14108,133,,"b'Bydgoszcz, Poland'",53.1222 17.9986
CHid-mkpM8w,nokia,2020-11-13 17:01:22.000000,no,False,"b'teamnokia,feelempowered'",b'',"b'Follow Associated Press correspondent Aron Heller\xe2\x80\x99s unlikely journey from the world of journalism to Nokia Software. It\xe2\x80\x99s a wild story that captures the power and reach of the news media, the enterprising initiative of a high-ranking tech executive and the shifting nature of both industries. Check out the article on our LinkedIn page. #TeamNokia #FeelEmpowered'",0,0,3315,13,,,
CHXTyTPApaE,nokia,2020-11-09 09:00:42.000000,no,False,"b'teamnokia,chennai,feelconnected,socialimpact,india'",b'',b'Our #TeamNokia #Chennai is spreading smiles amongst underprivileged children by donating toys and preparing to do much more in the coming days. Stay tuned! #FeelConnected #socialimpact #India',0,0,1852,19,,,
CHSRBbhALwG,nokia,2020-11-07 10:00:20.000000,no,False,"b'teamnokia,feelinspired'",b'',"b""#TeamNokia\xe2\x80\x99s cutting-edge technology provides crucial connectivity, real-time analytics and data visualization to Alex Thomson\xe2\x80\x99s HUGO BOSS boat on the Vend\xc3\xa9e Globe race this Sunday. Here's a sneak peek of what's to come! #FeelInspired""",0,0,3722,25,,,
CHQaRyBLP48,nokia,2020-11-06 16:42:45.000000,no,False,b'',b'',"b'We are a company that is dedicated to shaping the future of technology, alongside discovering how this will affect business and transform the way we live. \n\nTo understand more on these topics visit the new section of our site, ""Insights from Nokia"".'",0,0,3168,26,,,
