shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIVDX1zH0Ng,japanairlines_jal,2020-12-03 08:30:18.000000,no,False,"b'dramaticdecember,\xe9\x9b\xaa\xe5\x8c\x96\xe7\xb2\xa7,flyjal,japanairlines,travel,airplane,travelawesome,momentofmine'",b'',b'A light dust of snow.\n#DramaticDecember\n\n\xe3\x81\x86\xe3\x81\xa3\xe3\x81\x99\xe3\x82\x89\xe3\x81\xa8 #\xe9\x9b\xaa\xe5\x8c\x96\xe7\xb2\xa7 \xe3\x81\x97\xe3\x81\x9f\xe9\xa3\x9b\xe8\xa1\x8c\xe6\xa9\x9f:airplane:\xef\xb8\x8e\n.\n.\nPost your memories with #FlyJAL\n\n#JapanAirlines\n#travel #airplane #travelawesome #momentofmine',0,0,14787,55,,,
CISekJwDRVI,japanairlines_jal,2020-12-02 08:30:11.000000,no,False,"b'dramaticdecember,\xe4\xba\x94\xe7\xa8\x9c\xe9\x83\xad,flyjal,japanairlines,japan,hokkaido,japan_night_view'",b'167cm42kg',"b'Goryokaku, with its different shades in each of the seasons, can be seen here blanketed by snow and reflecting the surrounding lights ever so beautifully.\n#DramaticDecember\n\n\xe9\x9b\xaa\xe3\x81\xae\xe4\xb8\xad\xe3\x81\xab\xe5\x85\x89\xe3\x82\x8a\xe8\xbc\x9d\xe3\x81\x8f #\xe4\xba\x94\xe7\xa8\x9c\xe9\x83\xad :snowflake_selector:\n\xe5\xad\xa3\xe7\xaf\x80\xe3\x81\x94\xe3\x81\xa8\xe3\x81\xab\xe9\x81\x95\xe3\x81\x86\xe8\xa1\xa8\xe6\x83\x85\xe3\x82\x92\xe8\xa6\x8b\xe3\x81\x9b\xe3\x81\xa6\xe3\x81\x8f\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x99:glowing_star:\n.\n.\nPhoto by @167cm42kg\nPost your memories with #FlyJAL\n\n#JapanAirlines\n#japan #hokkaido #japan_night_view'",0,0,17739,66,,b'\xe4\xba\x94\xe7\xa8\x9c\xe9\x83\xad\xe3\x82\xbf\xe3\x83\xaf\xe3\x83\xbc / Goryokaku Tower',41.7945923114 140.7538104057
CIPom-noJ4q,japanairlines_jal,2020-12-01 06:00:16.000000,no,False,"b'worldlynovember,\xe7\xa6\x8f\xe5\xb2\xa1\xe3\x82\xaf\xe3\x83\xaa\xe3\x82\xb9\xe3\x83\x9e\xe3\x82\xb9\xe3\x83\x9e\xe3\x83\xbc\xe3\x82\xb1\xe3\x83\x83\xe3\x83\x88,flyjal,japanairlines,japan,fukuoka,japan_night_view'",b'keitoandkagari',b'The stunning white lights at Fukuoka Christmas Market will take your breath away.\n#WorldlyNovember\n\n\xe7\x99\xbd\xe3\x81\x8f\xe8\xbc\x9d\xe3\x81\x8f #\xe7\xa6\x8f\xe5\xb2\xa1\xe3\x82\xaf\xe3\x83\xaa\xe3\x82\xb9\xe3\x83\x9e\xe3\x82\xb9\xe3\x83\x9e\xe3\x83\xbc\xe3\x82\xb1\xe3\x83\x83\xe3\x83\x88 \xe3\x81\xae\xe3\x82\xa4\xe3\x83\xab\xe3\x83\x9f\xe3\x83\x8d\xe3\x83\xbc\xe3\x82\xb7\xe3\x83\xa7\xe3\x83\xb3\xe3\x81\xab\xe9\xad\x85\xe4\xba\x86\xe3\x81\x95\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x99:night_with_stars:\n.\n.\nPhoto by @keitoandkagari\nPost your memories with #FlyJAL\n\n#JapanAirlines\n#japan #fukuoka #japan_night_view',0,0,19431,90,,b'\xe5\x8d\x9a\xe5\xa4\x9a\xe9\xa7\x85\xe3\x80\x80Hakata Sta.',33.5904228524 130.4202424738
CIFml7IF_75,japanairlines_jal,2020-11-27 08:30:11.000000,no,False,"b'worldlynovember,flyjal,japanairlines,travel,airplane,travelawesome,momentofmine'",b'masanosin3',b'Have a favorite nightscape city? Let us know in the comments!\n#WorldlyNovember\n\n\xe6\x80\x9d\xe3\x81\x84\xe5\x87\xba\xe3\x81\xab\xe6\xae\x8b\xe3\x82\x8b\xe3\x82\xa4\xe3\x83\xab\xe3\x83\x9f\xe3\x83\x8d\xe3\x83\xbc\xe3\x82\xb7\xe3\x83\xa7\xe3\x83\xb3\xe3\x82\xb9\xe3\x83\x9d\xe3\x83\x83\xe3\x83\x88\xe3\x81\xaf\xe3\x81\xa9\xe3\x81\x93\xe3\x81\xa7\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f:Christmas_tree:\n\xe3\x82\xb3\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x88\xe3\x81\xa7\xe6\x95\x99\xe3\x81\x88\xe3\x81\xa6\xe3\x81\x8f\xe3\x81\xa0\xe3\x81\x95\xe3\x81\x84:airplane_selector:\n.\n.\nPhoto by @masanosin3\nPost your memories with #FlyJAL\n\n#JapanAirlines\n#travel #airplane\n#travelawesome #momentofmine',0,0,23570,112,,b'\xe5\x8d\x83\xe9\x87\x8c\xe5\xb7\x9d\xe3\x81\xae\xe5\x9c\x9f\xe6\x89\x8b',34.77107083 135.4533249205
CIDBzKrAMY7,japanairlines_jal,2020-11-26 08:30:13.000000,no,False,"b'worldlynovember,\xe8\xbb\xbd\xe4\xba\x95\xe6\xb2\xa2\xe9\xab\x98\xe5\x8e\x9f\xe6\x95\x99\xe4\xbc\x9a,flyjal,japanairlines,japan,nagano,japan_night_view'",b'ko_uske',b'Lanterns flickering warmth into our hearts at Karuizawa Kogen Church.\n#WorldlyNovember\n\n#\xe8\xbb\xbd\xe4\xba\x95\xe6\xb2\xa2\xe9\xab\x98\xe5\x8e\x9f\xe6\x95\x99\xe4\xbc\x9a \xe3\x81\xae\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xbf\xe3\x83\xb3\xe3\x82\xad\xe3\x83\xa3\xe3\x83\xb3\xe3\x83\x89\xe3\x83\xab:candle_selector:\n\xe6\xb8\xa9\xe3\x81\x8b\xe3\x81\xaa\xe5\x85\x89\xe3\x81\x8c\xe5\xbf\x83\xe3\x81\xab\xe6\x9f\x93\xe3\x81\xbf\xe3\x81\xbe\xe3\x81\x99:sparkles:\n.\n.\nPhoto by @ko_uske\nPost your memories with #FlyJAL\n\n#JapanAirlines\n#japan #nagano #japan_night_view',0,0,17709,59,,b'\xe8\xbb\xbd\xe4\xba\x95\xe6\xb2\xa2\xe9\xab\x98\xe5\x8e\x9f\xe6\x95\x99\xe4\xbc\x9a',36.35823029 138.5888566492
CIAdASoDUbK,japanairlines_jal,2020-11-25 08:30:14.000000,no,False,"b'worldlynovember,\xe3\x83\x8e\xe3\x82\xa4\xe3\x82\xb7\xe3\x83\xa5\xe3\x83\x90\xe3\x83\xb3\xe3\x82\xb7\xe3\x83\xa5\xe3\x82\xbf\xe3\x82\xa4\xe3\x83\xb3\xe5\x9f\x8e,flyjal,japanairlines,germany,castle'",b'youcan_photo',b'Neuschewanstein Castle: straight out of a fairy tale.\n#WorldlyNovember\n\n\xe3\x83\x95\xe3\x82\xa1\xe3\x83\xb3\xe3\x82\xbf\xe3\x82\xb8\xe3\x83\xbc\xe3\x81\xae\xe4\xb8\x96\xe7\x95\x8c\xe8\xa6\xb3\xe3\x81\x8c\xe6\xbc\x82\xe3\x81\x86 #\xe3\x83\x8e\xe3\x82\xa4\xe3\x82\xb7\xe3\x83\xa5\xe3\x83\x90\xe3\x83\xb3\xe3\x82\xb7\xe3\x83\xa5\xe3\x82\xbf\xe3\x82\xa4\xe3\x83\xb3\xe5\x9f\x8e :castle:\n.\n.\nPhoto by @youcan_photo\nPost your memories with #FlyJAL\n\n#JapanAirlines\n#germany #castle',0,0,19942,113,,b'Schloss Neuschwanstein',47.5574978971 10.7497304678
CH94NQ9FfhD,japanairlines_jal,2020-11-24 08:30:11.000000,no,False,"b'worldlynovember,flyjal,japanairlines,travel,airplane,travelawesome,momentofmine'",b'mpsgaro',b'Gracefully floating above the snow-blanketed earth below.\n#WorldlyNovember\n\n\xe9\x9b\xaa\xe5\x8e\x9f\xe3\x81\xae\xe4\xb8\x8a\xe3\x82\x92\xe6\xb0\x97\xe6\x8c\x81\xe3\x81\xa1\xe3\x82\x88\xe3\x81\x95\xe3\x81\x9d\xe3\x81\x86\xe3\x81\xab\xe6\xb3\xb3\xe3\x81\x84\xe3\x81\xa7\xe3\x81\x84\xe3\x81\xbe\xe3\x81\x99:airplane:\n.\n.\nPhoto by @mpsgaro\nPost your memories with #FlyJAL\n\n#JapanAirlines\n#travel #airplane\n#travelawesome #momentofmine',0,0,13008,39,,,
CHzlByhl-TJ,japanairlines_jal,2020-11-20 08:30:11.000000,no,False,"b'worldlynovember,\xe3\x83\x96\xe3\x83\xac\xe3\x83\x83\xe3\x83\x89\xe6\xb9\x96,flyjal,japanairlines,slovenia,naturephotography'",b'kyrenian',"b'The always picturesque Lake Bled, also affectionately known as the Pearl of the Alps.\n#WorldlyNovember\n\n\xe3\x80\x8c\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x97\xe3\x82\xb9\xe3\x81\xae\xe7\x9e\xb3\xe3\x80\x8d\xe3\x81\xa8\xe3\x82\x82\xe5\x91\xbc\xe3\x81\xb0\xe3\x82\x8c\xe3\x82\x8b #\xe3\x83\x96\xe3\x83\xac\xe3\x83\x83\xe3\x83\x89\xe6\xb9\x96 :sparkles:\n\xe3\x81\xbe\xe3\x82\x8b\xe3\x81\xa7\xe7\xb5\xb5\xe7\x94\xbb\xe3\x81\xae\xe3\x82\x88\xe3\x81\x86\xe3\x81\xaa\xe7\xb5\xb6\xe6\x99\xaf\xe3\x81\xa7\xe3\x81\x99:eyes:\n.\n.\nPhoto by @kyrenian\nPost your memories with #FlyJAL\n\n#JapanAirlines\n#slovenia #naturephotography'",0,0,17095,74,,b'Lake Bled',46.3638351246 14.0936138481
CHzlByhl-TJ,japanairlines_jal,2020-11-20 08:30:11.000000,no,False,"b'worldlynovember,\xe3\x83\x96\xe3\x83\xac\xe3\x83\x83\xe3\x83\x89\xe6\xb9\x96,flyjal,japanairlines,slovenia,naturephotography'",b'kyrenian',"b'The always picturesque Lake Bled, also affectionately known as the Pearl of the Alps.\n#WorldlyNovember\n\n\xe3\x80\x8c\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x97\xe3\x82\xb9\xe3\x81\xae\xe7\x9e\xb3\xe3\x80\x8d\xe3\x81\xa8\xe3\x82\x82\xe5\x91\xbc\xe3\x81\xb0\xe3\x82\x8c\xe3\x82\x8b #\xe3\x83\x96\xe3\x83\xac\xe3\x83\x83\xe3\x83\x89\xe6\xb9\x96 :sparkles:\n\xe3\x81\xbe\xe3\x82\x8b\xe3\x81\xa7\xe7\xb5\xb5\xe7\x94\xbb\xe3\x81\xae\xe3\x82\x88\xe3\x81\x86\xe3\x81\xaa\xe7\xb5\xb6\xe6\x99\xaf\xe3\x81\xa7\xe3\x81\x99:eyes:\n.\n.\nPhoto by @kyrenian\nPost your memories with #FlyJAL\n\n#JapanAirlines\n#slovenia #naturephotography'",0,0,17095,74,,b'Lake Bled',46.3638351246 14.0936138481
CHxAPIujAxX,japanairlines_jal,2020-11-19 08:30:14.000000,no,False,"b'worldlynovember,\xe9\x8a\x80\xe5\xb1\xb1\xe6\xb8\xa9\xe6\xb3\x89,flyjal,japanairlines,japan,yamagata,japan_night_view'",b'sakura_abten',"b'Nostalgic gas lanterns sparkling in the snowfall at Ginzan Onsen set the scene for a truly relaxing view, found only in Japan.\n#WorldlyNovember\n\n\xe3\x82\xac\xe3\x82\xb9\xe7\x81\xaf\xe3\x81\xae\xe3\x81\x82\xe3\x82\x8b\xe8\xa1\x97\xe4\xb8\xa6\xe3\x81\xbf\xe3\x81\x8c\xe3\x83\x8e\xe3\x82\xb9\xe3\x82\xbf\xe3\x83\xab\xe3\x82\xb8\xe3\x83\x83\xe3\x82\xaf\xe3\x81\xaa #\xe9\x8a\x80\xe5\xb1\xb1\xe6\xb8\xa9\xe6\xb3\x89 :hot_springs_selector:\n\xe6\x97\xa5\xe6\x9c\xac\xe3\x81\xaa\xe3\x82\x89\xe3\x81\xa7\xe3\x81\xaf\xe3\x81\xae\xe9\x9b\xaa\xe6\x99\xaf\xe8\x89\xb2\xe3\x81\xab\xe7\x99\x92\xe3\x82\x84\xe3\x81\x95\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x99:kimono:\n.\n.\nPhoto by @sakura_abten\nPost your memories with #FlyJAL\n\n#JapanAirlines\n#japan #yamagata #japan_night_view'",0,0,21941,80,,b'\xe9\x8a\x80\xe5\xb1\xb1\xe6\xb8\xa9\xe6\xb3\x89 Ginzan Onsen \xe5\xa4\xa7\xe6\xad\xa3\xe6\xb5\xaa\xe6\xbc\xab\xe3\x80\x80\xe5\xa4\x9c\xe6\x99\xaf\xe3\x81\xa8\xe9\x9b\xaa\xe6\x99\xaf\xe8\x89\xb2\xe3\x81\xae\xe6\xb8\xa9\xe6\xb3\x89\xe8\xa1\x97',38.5703820234 140.5302233542
