shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY9u9yluGe,clinique,2020-12-04 20:58:12.000000,yes,False,b'',b'heatherbowtie',"b'Heather (@HeatherBowtie), a Clinique Consultant, shares her favorite tips and gifts for a glowing Holiday season.\n \nProducts featured:\nClarifying Lotion 3\nMoisture Surge 72hr\nEven Better All-Over Concealer + Eraser\nEven Better Refresh\nBuild Your Colour: A Trio of Eye and Cheek Palettes\nUltimate Lip Roll Out\nPlenty of Pop'",27189,2833.1,1294,42,,,
CIYkQbaDAh3,clinique,2020-12-04 17:15:13.000000,no,False,"b'merryclinique,clinique,beauty,makeup,skincare,parabenfree,fragrancefree,happyskin'",b'',b'Gift something merry and bright this holiday season. Our Cyber Monday deals have been extended! Head to Clinique.com > Holiday for festive gifts for everyone on your list (including yourself) and use code JOY30 for 30% off your entire purchase*:wrapped_gift::sparkles:\n\n#MerryClinique #Clinique #beauty #makeup #skincare #parabenfree #fragrancefree #happyskin',0,0,2154,12,,,
CIWAAj9j7Ob,clinique,2020-12-03 17:20:19.000000,yes,False,b'',b'',"b""There's still time to apply to join the Clinique Beauty Co-Lab! We\xe2\x80\x99re looking for 51 people of all ages, sizes, and backgrounds to share their story and perspective on beauty. Together, we\xe2\x80\x99ll spark meaningful conversation for change and help champion a new definition of beauty. Apply at the link in our bio by December 11th. Open to U.S. residents only.""",17809,14.993,2049,23,,,
CITXeFWDn4q,clinique,2020-12-02 16:47:17.000000,no,False,"b'merryclinique,clinique,beauty,makeup,skincare,parabenfree,fragrancefree,happyskin'",b'sephora',"b'A gift sure to make them blush :sparkles: Shop our limited edition Black Honey Cheek Pop palette exclusively at @sephora :smiling_face_with_heart-eyes:\n\nShades included: Cheek Pop in Pink Honey, Black Honey, and Gold Celebration (highlighter)\n\n#MerryClinique #Clinique #beauty #makeup #skincare #parabenfree #fragrancefree #happyskin'",0,0,6570,58,,,
CIQ1JYgj11D,clinique,2020-12-01 17:08:52.000000,no,False,b'merryclinique',b'boisemacysclinique',b'We love a Cyber haul :smiling_face_with_heart-eyes: Take 30% off any* clinique.com order PLUS:\n :check_mark:pick a free 7-piece Clinique best sellers kit with $65 order\n:check_mark:get a free Moisture Set with $85 order. Includes 2 full sizes.\n:check_mark:enjoy 40% off select products and gift sets\n \nWrap up your holiday shopping now. Code JOY30. #merryclinique :camera_with_flash:: @boisemacysclinique',0,0,6234,94,,,
CIOZ3QKDXvA,clinique,2020-11-30 18:31:59.000000,no,False,b'merryclinique',b'',"b'Treat yourself to our biggest Cyber deals ever! :sparkles: Enjoy 40% off gift sets + 30% off sitewide on clinique.com. Pick a free 7-piece Clinique best sellers kit with any $65 order. Spend $85, add a free Moisture Surge:trade_mark: Set (includes 2 full sizes). $200 total value. Code JOY30. Some exclusions apply. Shop now! #MerryClinique'",0,0,1251,45,,,
CILqlx4jX8a,clinique,2020-11-29 17:00:26.000000,no,False,"b'merryclinique,clinique,beauty,makeup,skincare,parabenfree,fragrancefree,happyskin'",b'',"b'Cyber Monday starts early! :party_popper: Enjoy 30% off any clinique.com order. Plus, get the best free kits: Pick a free 7-piece Clinique best sellers kit with any $65 order. Spend $85, add a free Moisture Surge:trade_mark: Set (includes 2 full sizes). $200 total value. Code JOY30. Plus, select gift sets are 40% off. Shop now!\n\n#MerryClinique #Clinique #beauty #makeup #skincare #parabenfree #fragrancefree #happyskin'",0,0,1745,39,,,
CII-gXWjA7t,clinique,2020-11-28 15:56:44.000000,no,False,b'',b'',"b'It\xe2\x80\x99s not over yet! Shop our best Black Friday deals all weekend on clinique.com. Take 30% off any order + pick a free 6-piece Clinique favorites kit with any $65 order. Plus, more great gifts: Spend $85, add a free Moisture Set. Includes 2 full sizes. $176 total value. Shop now!'",0,0,3629,41,,,
CIGei8YDTZU,clinique,2020-11-27 16:39:10.000000,yes,False,b'',b'',"b'Hey, Black Friday fans. These deals are lit! :sparkles:Take 30% off any order + pick a free 6-piece Clinique favorites kit with any $65 order. Shop now!'",11677,14.6,991,59,,,
CID8yd4jClc,clinique,2020-11-26 17:05:31.000000,no,False,b'thanksgiving',b'',"b""We're thankful for our Clinique Community! :two_hearts: Take 30% off any clinique.com order + pick a free 6-piece Clinique favorites kit with any $65 order. We added new kits \xe2\x80\x94 shop now! #Thanksgiving""",0,0,3375,29,,,
CIB8Sf-jati,clinique,2020-11-25 22:34:31.000000,yes,False,"b'cliniquepartner,cliniqueconsultant'","b'divinely_d,emilia_clarke'",b'Watch Clinique Consultant D\xe2\x80\x99anee Fuller (@divinely_d) help Global Brand Ambassador Emilia Clarke (@emilia_clarke)\xc2\xa0decide which beauty products she should switch up for\xc2\xa0the holidays.\xc2\xa0#CliniquePartner #CliniqueConsultant',17056,1776.5,1256,24,,,
CIBW-J-Dt1w,clinique,2020-11-25 16:57:00.000000,yes,False,"b'merryclinique,clinique,beauty,makeup,skincare,parabenfree,fragrancefree,happyskin'",b'',b'Beat the rush. Shop our Black Friday deals early. Take 30% off any order + pick a free 6-piece best-loved Clinique kit with any $65 clinique.com order. $100 value. Code JOY30. Get gifting!\n\n#MerryClinique #Clinique #beauty #makeup #skincare #parabenfree #fragrancefree #happyskin',11727,11.0,888,10,,,
CH-xHnuDHQI,clinique,2020-11-24 16:47:39.000000,yes,False,"b'merryclinique,clinique,beauty,makeup,skincare,parabenfree,fragrancefree,happyskin'",b'',b'We\xe2\x80\x99re head over heels for these Black Friday deals. :smiling_face_with_heart-eyes: 30% off any order + pick a free 6-piece best-loved Clinique kit with any $65 clinique.com order. $100 value. Code JOY30. Shop now!\n\n#MerryClinique #Clinique #beauty #makeup #skincare #parabenfree #fragrancefree #happyskin',11771,9.766,984,8,,,
CH8NHfvDXCZ,clinique,2020-11-23 16:54:27.000000,yes,False,b'',b'',b'Black Friday starts now! :sparkles: 30% off any order + pick a free 6-piece best-loved Clinique kit with any $65 order on clinique.com. $100 value. Code JOY30. Shop now!',12444,12.533,1026,14,,,
CH6IETzD8s_,clinique,2020-11-22 21:31:40.000000,no,False,b'merryclinique',b'',b'Read it here first! Our biggest deals of the year drop tomorrow:double_exclamation_mark_selector:Only on clinique.com. #MerryClinique',0,0,2356,19,,,
CH5pk_FjpHe,clinique,2020-11-22 17:05:15.000000,no,False,b'cliniquepartner',"b'emilia_clarke,divinely_d'",b'Tune in tomorrow at 3 PM ET on Instagram Live to see how Global Brand Ambassador @emilia_clarke upgrades her beauty\xc2\xa0routine for the holidays with the help of Clinique Consultant @divinely_d :sparkles:#CliniquePartner',0,0,1642,38,,,
CH3Eh1qj2pu,clinique,2020-11-21 17:03:02.000000,no,False,"b'clinique,beauty,skincare,parabenfree,fragrancefree,happyskin'",b'adrianbrinkley',b'This little wonder helps strengthen your moisture barrier\xe2\x80\x94and a stronger barrier provides a more optimal environment for your skin to thrive and look and feel its best :sparkles: Tap once to shop Moisture Surge Intense 72H. \n\n:camera_with_flash: @adrianbrinkley #Clinique #beauty #skincare #parabenfree #fragrancefree #happyskin',0,0,4869,42,,,
CH1O1qTFFIZ,clinique,2020-11-20 23:54:59.000000,yes,False,b'',"b'adriennebailon,sophiapickle'",b'Watch\xc2\xa0Adrienne Bailon-Houghton\xc2\xa0(@adriennebailon) and Clinique Consultant\xc2\xa0Sophia Pickle\xc2\xa0(@sophiapickle) share their pro Zoom-party makeup tips.',68820,3330.858,1788,51,,,
CH0oPTpjAiQ,clinique,2020-11-20 18:17:21.000000,no,False,"b'clinique,clarifyinglotion,beauty,skincare,parabenfree,fragrancefree,happyskin'",b'',"b'Tap once to shop Clarifying Lotion, the ultimate difference maker in your skin care routine. Our iconic dermatologist-developed liquid exfoliating lotion clears the way for smoother, brighter skin.:sparkles:\n#Clinique #ClarifyingLotion #beauty #skincare #parabenfree #fragrancefree #happyskin'",0,0,12128,78,,,
CHvWAmCDq7j,clinique,2020-11-18 17:02:05.000000,yes,False,b'',b'',"b'Join the Clinique Beauty Co-Lab! We\xe2\x80\x99re looking for 51 people of all ages, sizes, and backgrounds to share their story and perspective on beauty. Together, we\xe2\x80\x99ll spark meaningful conversation for change and help champion a new definition of beauty. Apply at the link in our bio by December 11th. Open to U.S. residents only.'",12340,14.993,1435,23,,,
CHthmhYD6Ez,clinique,2020-11-18 00:04:40.000000,no,False,"b'selfcare,cliniquepartner,clinique,beauty,skincare,parabenfree,fragrancefree,happyskin'","b'amidesai,danielle_donofrio_'","b'Tune in tomorrow at 5 PM EST on clinique.com/livestream for Skin School Live with beauty expert\xc2\xa0@amidesai and Clinique Consultant @danielle_donofrio_! :sparkles: They\xe2\x80\x99ll show you how to glow through the\xc2\xa0holidays, plus share some #selfcare skin care gift-giving\xc2\xa0tips and reveal an exclusive offer. #CliniquePartner #Clinique #beauty #skincare #parabenfree #fragrancefree #happyskin'",0,0,4457,24,,,
CHqS_DxDo0a,clinique,2020-11-16 17:59:14.000000,no,False,"b'moisturesurge,clinique,beauty,skincare,parabenfree,fragrancefree,happyskin'",b'k2chic',"b""Let's get glowing :sparkles: :two_hearts: Moisture Surge 72-Hour\xe2\x80\x99s Auto-Replenishing Technology helps skin create its own internal water source to continually rehydrate itself. Then it locks in all that moisture for an endlessly plump, dewy, healthy-looking glow. \n\nExclusive for our Instagram community \xe2\x80\x94 20% off your entire Clinique Instagram Checkout purchase. No code needed, US only, available until 11/16 11:59 PM PST. Some exclusions apply. Available on Instagram Checkout only. \n\n:camera_with_flash:: @k2chic #MoistureSurge #Clinique #beauty #skincare #parabenfree #fragrancefree #happyskin""",0,0,10896,190,,,
CHnoXt4DcJs,clinique,2020-11-15 17:08:22.000000,no,False,"b'evenbetter,clinique,beauty,makeup,parabenfree,fragrancefree,happyskin'",b'cliniquebaybrook',b'Fan favorite Even Better Makeup is dermatologist-developed to visibly reduce dark spots in 12 weeks. 24-hour flawless coverage. Actively improves skin with every wear. :sparkles:\n\nShade featured: WN 125\n\n:camera_with_flash:: @cliniquebaybrook #EvenBetter #Clinique #beauty #makeup #parabenfree #fragrancefree #happyskin',0,0,2387,27,,,
CHlB9m8DDS7,clinique,2020-11-14 16:54:17.000000,no,False,"b'clinique,beauty,makeup,parabenfree,fragrancefree,happyskin'",b'clph_reno',b'Saturday Zoom essentials:sparkles: Just apply High Impact Mascara for volume and length in each and every lash + Clinique Pop Matte for beautiful color and primer in one. Tap once to shop!\n\n:camera_with_flash:: @clph_reno #Clinique #beauty #makeup #parabenfree #fragrancefree #happyskin',0,0,6600,38,,,
CHi4BivlU7s,clinique,2020-11-13 20:49:20.000000,yes,False,b'',b'divinely_d',"b'D\xe2\x80\x99anee (@divinely_d), a Clinique Consutant, shares her favorite tips and tricks for creating a photo ready holiday makeup look \xe2\x80\x93 whether you\xe2\x80\x99re taking outdoor family holiday card photos, capturing the perfect holiday selfie, or getting ready for a virtual holiday celebration. \n\nProducts featured:\n\nUniversal Superprimer\nBeyond Perfecting Foundation + Concealer\nEven Better All Over Concealer + Eraser\nStay Matte Universal Blotting Powder\nCheek Pop Blush\nFlower Pop Highlighter\nA Trio of Eye and Cheek Palettes\nHigh Impact Custom Black Kajal\nPop Matte Lip Color + Primer in Raspberry Pop'",17740,2395.066,1028,25,,,
CHil7tMjouw,clinique,2020-11-13 18:10:52.000000,no,False,"b'acnesolutions,clinique,myskinstories,beauty,skincare,parabenfree,fragrancefree,happyskin'",b'spi.nks',"b'What\xe2\x80\x99s Aleigha\xe2\x80\x99s Real Skin Story? Her major skin concern is acne, and she\xe2\x80\x99s looking to break up with her blemishes. The Clinique #AcneSolutions line will help give her nothing but clear skin here on out. @spi.nks #Clinique #MySkinStories #beauty #skincare #parabenfree #fragrancefree #happyskin'",0,0,2121,29,,,
CHf8WrhDUMM,clinique,2020-11-12 17:30:26.000000,yes,False,"b'clarifyinglotion,clinique,beauty,skincare,parabenfree,fragrancefree,happyskin'",b'',"b'Need a little clarity? Clarifying Lotion is available for all skin types and gently sweeps away dulling flakes, excess oil, while prepping your face for any makeup look you want. \n\n#ClarifyingLotion #Clinique #beauty #skincare #parabenfree #fragrancefree #happyskin'",22260,5.133,2271,48,,,
CHdiFfqj3gK,clinique,2020-11-11 19:02:34.000000,yes,False,"b'singlesday,clinique,beauty,makeup,skincare,parabenfree,fragrancefree,happyskin'",b'',"b'Our 11.11 Singles Day celebration ends today! Receive 20% of your entire clinique.com order* with the code LOVE20, plus choose your free 7-piece gift with any $45 purchase. Shop now! \n\n*some exclusions apply #SinglesDay #Clinique #beauty #makeup #skincare #parabenfree #fragrancefree #happyskin'",24153,12.389,2311,25,,,
CHa0PoHjDQi,clinique,2020-11-10 17:42:00.000000,no,False,"b'evenbetter,clinique,beauty,skincare,parabenfree,fragrancefree,happyskin'",b'elc_influencer_becky',b'Meet Even Better Clinical Radical Dark Spot Corrector + Interrupter :up_arrow_selector: Our most powerful brightening serum helps visibly correct dark spots and acne scars + interrupts future dark spots :sparkles: Tap once to shop!\n\n:camera_with_flash:: @elc_influencer_becky #EvenBetter #Clinique #beauty #skincare #parabenfree #fragrancefree #happyskin',0,0,9459,78,,,
CHYSd7PD1A0,clinique,2020-11-09 18:08:22.000000,no,False,"b'mytop3,clinique,beauty,makeup,skincare,parabenfree,fragrancefree,happyskin'",b'',b'Laura has her de-aging regimen down to a very smart science. :nerd_face: Check out our stories for her Top 3 products for youthful-looking skin. \n#MyTop3 #Clinique #beauty #makeup #skincare #parabenfree #fragrancefree #happyskin',0,0,6292,70,,,
CHVmHsvj9g6,clinique,2020-11-08 17:02:23.000000,no,False,"b'clinique,beauty,skincare,parabenfree,fragrancefree,happyskin'","b'cliniquesg,natalie_yeow'","b'@cliniquesg Clinique Consultant, @natalie_yeow, shares her daily skin care routine :purple_heart:\n\nTake The Day Off Cleansing Balm - Gently yet effectively removes even the most tenacious eye and face makeup\nClarifying Lotion - Sweeps away pollution, grime, dulling flakes to reveal smoother, clearer skin\nClinique iD for Lines & Wrinkles - Lightweight water-jelly face moisturizer delivers 24-hour hydration repair and Active Cartridge Concentrate smooths lines + replumps with Whey Protein\n\n#Clinique #beauty #skincare #parabenfree #fragrancefree #happyskin'",0,0,9328,52,,,
CHQkc7lDXmZ,clinique,2020-11-06 18:11:42.000000,yes,False,"b'moisturesurge,oddlysatisfying,regram,clinique,moisturesurge,beauty,skincare,parabenfree,fragrancefree,happyskin'","b'mandylikes_,cliniqueaustralia'","b'Two hydrating #MoistureSurge formulas, one #oddlysatisfying #regram from @mandylikes_ @cliniqueaustralia :smiling_face_with_heart-eyes: Tap twice to :red_heart_selector: \n\n#Clinique #MoistureSurge #beauty #skincare #parabenfree #fragrancefree #happyskin'",114426,6.0,7634,71,,,
CHOOTfbDwfm,clinique,2020-11-05 20:19:35.000000,no,False,"b'myskinstories,clinique,beauty,skincare,parabenfree,fragrancefree,happyskin'",b'kibreacarmichael',"b'What\xe2\x80\x99s @kibreacarmichael\xe2\x80\x99s Real Skin Story? Her major skin concern is dark spots, and she\xe2\x80\x99s looking to banish them. Even Better Clinical Radical Dark Spot Corrector + Interrupter paired with Even Better Makeup will help fight the look of current spots and help prevent future ones. #MySkinStories #Clinique #beauty #skincare #parabenfree #fragrancefree #happyskin'",0,0,1482,15,,,
CHLa9yxjCLp,clinique,2020-11-04 18:12:30.000000,no,False,"b'clinique,beauty,skincare,parabenfree,fragrancefree,happyskin'",b'janicethitran',"b'\xe2\x80\x9cMy new go-to for an at-home spa day\xe2\x80\x9d says @janicethitran. Tap once to shop Moisture Surge Intense 72H for 72 hours of rich, glowing hydration. \n\n#Clinique #beauty #skincare #parabenfree #fragrancefree #happyskin'",0,0,5419,47,,,
